x,y,grad_x,grad_y,magnitude,valid
7.893,-0.301,0.000000,0.000000,0.000000,0
8.393,-0.301,0.000000,0.000000,0.000000,0
8.893,-0.301,0.000000,0.000000,0.000000,0
9.393,-0.301,0.000000,0.000000,0.000000,0
9.893,-0.301,0.000000,0.000000,0.000000,0
-4.607,0.199,-24.014288,70.250716,74.241829,1
-4.107,0.199,4.207344,-19.813316,20.255104,0
-3.607,0.199,4.762154,24.373985,24.834839,1
-3.107,0.199,4.364721,25.670665,26.039083,1
-2.607,0.199,3.000542,29.585324,29.737092,1
-2.107,0.199,2.426398,31.651168,31.744036,1
-1.607,0.199,2.608713,32.942964,33.046093,1
-1.107,0.199,3.535877,33.699287,33.884279,1
-0.607,0.199,10.725728,30.698544,32.518331,1
-0.107,0.199,34.430853,14.125051,37.215598,1
0.393,0.199,56.930756,-2.318230,56.977936,1
0.893,0.199,55.201755,-0.049678,55.201777,1
1.393,0.199,76.784063,-17.851366,78.831869,1
1.893,0.199,117.570988,-61.637328,132.748248,1
2.393,0.199,150.604078,-143.192930,207.811942,1
2.893,0.199,-107.167838,547.769579,558.154510,1
3.393,0.199,-290.954993,1309.613292,1341.544551,1
3.893,0.199,-368.607992,1501.020607,1545.617907,1
4.393,0.199,-497.679132,1495.022005,1575.682492,1
4.893,0.199,-483.919989,1311.204550,1397.653723,1
5.393,0.199,-90.718907,884.019759,888.662396,1
5.893,0.199,0.000000,0.000000,0.000000,0
6.393,0.199,0.000000,0.000000,0.000000,0
6.893,0.199,0.000000,0.000000,0.000000,0
7.393,0.199,0.000000,0.000000,0.000000,0
7.893,0.199,0.000000,0.000000,0.000000,0
8.393,0.199,0.000000,0.000000,0.000000,0
8.893,0.199,0.000000,0.000000,0.000000,0
9.393,0.199,0.000000,0.000000,0.000000,0
9.893,0.199,0.000000,0.000000,0.000000,0
-4.607,0.699,-24.014288,70.250716,74.241829,1
-4.107,0.699,-8.722229,18.839122,20.760294,1
-3.607,0.699,4.762154,24.373985,24.834839,1
-3.107,0.699,3.724608,27.515691,27.766634,1
-2.607,0.699,2.521674,31.128435,31.230407,1
-2.107,0.699,2.382363,32.487441,32.574675,1
-1.607,0.699,3.535877,33.699287,33.884279,1
-1.107,0.699,10.725728,30.698544,32.518331,1
-0.607,0.699,34.430853,14.125051,37.215598,1
-0.107,0.699,48.683960,3.455523,48.806440,1
0.393,0.699,55.271724,-0.278485,55.272426,1
0.893,0.699,76.620257,-17.563150,78.607430,1
1.393,0.699,116.635931,-54.785217,128.861788,1
1.893,0.699,108.142251,-54.064028,120.903539,1
2.393,0.699,-15.833497,149.537070,150.372986,1
2.893,0.699,-203.681961,793.626848,819.347250,1
3.393,0.699,-295.694790,1197.701384,1233.662845,1
3.893,0.699,-230.485004,870.463537,900.461052,1
4.393,0.699,-238.710675,734.152928,771.986599,1
4.893,0.699,-375.085970,859.557491,937.831843,1
5.393,0.699,-404.070018,869.032665,958.379024,1
5.893,0.699,28.293993,405.946103,406.930938,1
6.393,0.699,39.080489,471.237806,472.855532,1
6.893,0.699,0.000000,0.000000,0.000000,0
7.393,0.699,0.000000,0.000000,0.000000,0
7.893,0.699,0.000000,0.000000,0.000000,0
8.393,0.699,0.000000,0.000000,0.000000,0
8.893,0.699,0.000000,0.000000,0.000000,0
9.393,0.699,0.000000,0.000000,0.000000,0
9.893,0.699,0.000000,0.000000,0.000000,0
-4.607,1.199,28.330436,-60.069963,66.415465,1
-4.107,1.199,-24.014288,70.250716,74.241829,1
-3.607,1.199,-8.315464,49.056072,49.755856,1
-3.107,1.199,3.357977,28.552102,28.748888,1
-2.607,1.199,2.521674,31.128435,31.230407,1
